siteNo,date,discharge
02219634,1982-06-27,36.61188
02219635,1982-06-28,65.91697
02219636,1982-06-29,78.59856
02219637,1982-06-30,55.45681
02219638,1982-07-01,41.81264
02219639,1982-07-02,34.05067
02219640,1982-07-03,31.54856
02219641,1982-07-04,29.18181
02219642,1982-07-05,29.18181
02219643,1982-07-06,29.18181
02219644,1982-07-07,29.18181
02219645,1982-07-08,27.63315
02219646,1982-07-09,29.18181
02219647,1982-07-10,40.21232
02219648,1982-07-11,41.81264
02219649,1982-07-12,34.8129
02219650,1982-07-13,29.85208
02219651,1982-07-14,26.9761
02219652,1982-07-15,31.54856
02219653,1982-07-16,50.42915
02219654,1982-07-17,119.1972
02219655,1982-07-18,104.1958
02219656,1982-07-19,58.08693
02219657,1982-07-20,46.85778
02219658,1982-07-21,34.05067
02219659,1982-07-22,29.4048
02219660,1982-07-23,28.73714
02219661,1982-07-24,33.79778
02219662,1982-07-25,40.21232
02219663,1982-07-26,32.04418
02219664,1982-07-27,27.19467
02219665,1982-07-28,27.19467
02219666,1982-07-29,26.10638
02219667,1982-07-30,25.244
02219668,1982-07-31,27.41369
02219669,1982-08-01,31.54856
02219670,1982-08-02,31.79607
02219671,1982-08-03,27.41369
02219672,1982-08-04,23.05141
02219673,1982-08-05,21.78867
02219674,1982-08-06,23.05141
02219675,1982-08-07,23.05141
02219676,1982-08-08,21.96847
02219677,1982-08-09,22.32868
02219678,1982-08-10,340.3887
02219679,1982-08-11,926.4886
02219680,1982-08-12,886.8995
02219681,1982-08-13,342.9888
02219682,1982-08-14,148.2345
02219683,1982-08-15,105.279
02219684,1982-08-16,78.02347
02219685,1982-08-17,125.5402
02219686,1982-08-18,99.90817
02219687,1982-08-19,93.67806
02219688,1982-08-20,61.48566
02219689,1982-08-21,45.7046
02219690,1982-08-22,35.83741
02219691,1982-08-23,32.54221
02219692,1982-08-24,32.04418
02219693,1982-08-25,29.85208
02219694,1982-08-26,28.07342
02219695,1982-08-27,26.75799
02219696,1982-08-28,25.89009
02219697,1982-08-29,25.67426
02219698,1982-08-30,24.60211
02219699,1982-08-31,23.41392
02219700,1982-09-01,26.32312
02219701,1982-09-02,55.45681
02219702,1982-09-03,94.30938
02219703,1982-09-04,71.29068
02219704,1982-09-05,33.04264
02219705,1982-09-06,26.75799
02219706,1982-09-07,24.17654
02219707,1982-09-08,23.05141
02219708,1982-09-09,22.32868
02219709,1982-09-10,21.60906
02219710,1982-09-11,28.29422
02219711,1982-09-12,41.27474
02219712,1982-09-13,37.63367
02219713,1982-09-14,67.50649
02219714,1982-09-15,115.23
02219715,1982-09-16,51.04086
02219716,1982-09-17,32.29289
02219717,1982-09-18,29.18181
02219718,1982-09-19,26.10638
02219719,1982-09-20,24.60211
02219720,1982-09-21,23.96447
02219721,1982-09-22,22.68966
02219722,1982-09-23,21.60906
02219723,1982-09-24,21.25045
02219724,1982-09-25,21.60906
02219725,1982-09-26,22.50907
02219726,1982-09-27,24.17654
02219727,1982-09-28,26.10638
02219728,1982-09-29,24.8156
02219729,1982-09-30,22.68966
02219730,1982-10-01,22.68966
02219731,1982-10-02,22.32868
02219732,1982-10-03,21.60906
02219733,1982-10-04,21.07145
02219734,1982-10-05,20.89264
02219735,1982-10-06,20.53566
02219736,1982-10-07,22.14848
02219737,1982-10-08,26.9761
02219738,1982-10-09,51.04086
02219739,1982-10-10,49.82217
02219740,1982-10-11,184.4863
02219741,1982-10-12,341.0383
02219742,1982-10-13,285.6577
02219743,1982-10-14,868.6678
02219744,1982-10-15,767.358
02219745,1982-10-16,281.8194
02219746,1982-10-17,168.2067
02219747,1982-10-18,132.0151
02219748,1982-10-19,103.6559
02219749,1982-10-20,85.66803
02219750,1982-10-21,84.46818
02219751,1982-10-22,86.87654
02219752,1982-10-23,69.11537
02219753,1982-10-24,59.43151
02219754,1982-10-25,54.17102
02219755,1982-10-26,51.04086
02219756,1982-10-27,47.44132
02219757,1982-10-28,44.00932
02219758,1982-10-29,42.35504
02219759,1982-10-30,40.7413
02219760,1982-10-31,40.21232
02219761,1982-11-01,40.21232
02219762,1982-11-02,42.35504
02219763,1982-11-03,50.42915
02219764,1982-11-04,101.5075
02219765,1982-11-05,122.0639
02219766,1982-11-06,73.50045
02219767,1982-11-07,54.81149
02219768,1982-11-08,49.82217
02219769,1982-11-09,46.27888
02219770,1982-11-10,46.27888
02219771,1982-11-11,44.56984
02219772,1982-11-12,58.08693
02219773,1982-11-13,102.5794
02219774,1982-11-14,127.8795
02219775,1982-11-15,81.50636
02219776,1982-11-16,65.91697
02219777,1982-11-17,60.79595
02219778,1982-11-18,80.92048
02219779,1982-11-19,160.602
02219780,1982-11-20,168.2067
02219781,1982-11-21,135.0015
02219782,1982-11-22,130.2362
02219783,1982-11-23,126.7077
02219784,1982-11-24,107.459
02219785,1982-11-25,93.67806
02219786,1982-11-26,84.46818
02219787,1982-11-27,79.7552
02219788,1982-11-28,86.2712
02219789,1982-11-29,394.6029
02219790,1982-11-30,519.9098
02219791,1982-12-01,813.0127
02219792,1982-12-02,930.0535
02219793,1982-12-03,563.444
02219794,1982-12-04,349.5093
02219795,1982-12-05,381.8733
02219796,1982-12-06,786.5106
02219797,1982-12-07,622.7126
02219798,1982-12-08,365.2761
02219799,1982-12-09,286.9043
02219800,1982-12-10,239.3892
02219801,1982-12-11,283.7902
02219802,1982-12-12,979.4008
02219803,1982-12-13,1048.21
02219804,1982-12-14,616.7641
02219805,1982-12-15,421.7208
02219806,1982-12-16,452.7298
02219807,1982-12-17,418.9899
02219808,1982-12-18,330.0358
02219809,1982-12-19,295.6665
02219810,1982-12-20,305.7562
02219811,1982-12-21,261.7187
02219812,1982-12-22,230.3283
02219813,1982-12-23,211.0833
02219814,1982-12-24,196.573
02219815,1982-12-25,187.1451
02219816,1982-12-26,179.869
02219817,1982-12-27,172.7058
02219818,1982-12-28,170.772
02219819,1982-12-29,283.1683
02219820,1982-12-30,246.9866
02219821,1982-12-31,205.5079
02219822,1983-01-01,189.149
02219823,1983-01-02,640.586
02219824,1983-01-03,1034.597
02219825,1983-01-04,828.0008
02219826,1983-01-05,505.8535
02219827,1983-01-06,383.8766
02219828,1983-01-07,327.4594
02219829,1983-01-08,302.5946
02219830,1983-01-09,264.5584
02219831,1983-01-10,246.2925
02219832,1983-01-11,244.9064
02219833,1983-01-12,230.3283
02219834,1983-01-13,211.7843
02219835,1983-01-14,197.9374
02219836,1983-01-15,193.1816
02219837,1983-01-16,184.4863
02219838,1983-01-17,170.1292
02219839,1983-01-18,168.2067
02219840,1983-01-19,163.1217
02219841,1983-01-20,158.0977
02219842,1983-01-21,163.1217
02219843,1983-01-22,205.5079
02219844,1983-01-23,296.9233
02219845,1983-01-24,329.3913
02219846,1983-01-25,302.5946
02219847,1983-01-26,261.7187
02219848,1983-01-27,237.3316
02219849,1983-01-28,242.1423
02219850,1983-01-29,251.1654
02219851,1983-01-30,232.507
02219852,1983-01-31,202.7422
02219853,1983-02-01,191.1612
02219854,1983-02-02,790.3185
02219855,1983-02-03,1710.237
02219856,1983-02-04,1348.678
02219857,1983-02-05,634.6236
02219858,1983-02-06,598.9469
02219859,1983-02-07,740.2148
02219860,1983-02-08,598.9469
02219861,1983-02-09,480.7498
02219862,1983-02-10,412.8607
02219863,1983-02-11,403.3693
02219864,1983-02-12,365.2761
02219865,1983-02-13,319.1196
02219866,1983-02-14,356.0587
02219867,1983-02-15,431.312
02219868,1983-02-16,346.2454
02219869,1983-02-17,321.0396
02219870,1983-02-18,290.6519
02219871,1983-02-19,264.5584
02219872,1983-02-20,244.2143
02219873,1983-02-21,231.7799
02219874,1983-02-22,290.6519
02219875,1983-02-23,1110.998
